Num,Datetime(GMT+1),FullRange(uS/cm),Temp(C),CouplerDetached,CouplerAttached,Stopped,EndOfFile,hobo.ID,N(dm),E(dm)
1,03/23/20 06:00:00 PM,2.0,18.4,Logged,,,,20803907,   54 22.847,   13 17.045
2,03/23/20 07:00:00 PM,2.0,18.43,,,,,20803907,   54 22.847,   13 17.045
3,03/23/20 08:00:00 PM,-0.2,18.69,,,,,20803907,   54 22.847,   13 17.045
4,03/23/20 09:00:00 PM,-0.2,17.57,,,,,20803907,   54 22.847,   13 17.045
5,03/23/20 10:00:00 PM,-0.2,17.31,,,,,20803907,   54 22.847,   13 17.045
6,03/23/20 11:00:00 PM,2.0,17.42,,,,,20803907,   54 22.847,   13 17.045
7,03/24/20 12:00:00 AM,2.0,17.67,,,,,20803907,   54 22.847,   13 17.045
8,03/24/20 01:00:00 AM,2.0,17.83,,,,,20803907,   54 22.847,   13 17.045
9,03/24/20 02:00:00 AM,2.0,17.98,,,,,20803907,   54 22.847,   13 17.045
10,03/24/20 03:00:00 AM,2.0,18.11,,,,,20803907,   54 22.847,   13 17.045
11,03/24/20 04:00:00 AM,2.0,18.13,,,,,20803907,   54 22.847,   13 17.045
12,03/24/20 05:00:00 AM,2.0,18.14,,,,,20803907,   54 22.847,   13 17.045
13,03/24/20 06:00:00 AM,2.0,18.13,,,,,20803907,   54 22.847,   13 17.045
14,03/24/20 07:00:00 AM,2.0,18.14,,,,,20803907,   54 22.847,   13 17.045
15,03/24/20 08:00:00 AM,-0.2,14.88,,,,,20803907,   54 22.847,   13 17.045
16,03/24/20 09:00:00 AM,2.0,14.66,,,,,20803907,   54 22.847,   13 17.045
17,03/24/20 10:00:00 AM,-1.3,12.28,,,,,20803907,   54 22.847,   13 17.045
18,03/24/20 11:00:00 AM,2.0,11.9,,,,,20803907,   54 22.847,   13 17.045
19,03/24/20 12:00:00 PM,2.0,12.56,,,,,20803907,   54 22.847,   13 17.045
20,03/24/20 01:00:00 PM,2.0,13.93,,,,,20803907,   54 22.847,   13 17.045
21,03/24/20 02:00:00 PM,-0.2,13.82,,,,,20803907,   54 22.847,   13 17.045
22,03/24/20 03:00:00 PM,2.0,13.75,,,,,20803907,   54 22.847,   13 17.045
23,03/24/20 04:00:00 PM,2.0,14.0,,,,,20803907,   54 22.847,   13 17.045
24,03/24/20 05:00:00 PM,2.0,15.8,,,,,20803907,   54 22.847,   13 17.045
25,03/24/20 06:00:00 PM,2.0,13.19,,,,,20803907,   54 22.847,   13 17.045
26,03/24/20 07:00:00 PM,-0.2,11.26,,,,,20803907,   54 22.847,   13 17.045
27,03/24/20 08:00:00 PM,-0.2,9.89,,,,,20803907,   54 22.847,   13 17.045
28,03/24/20 09:00:00 PM,2.1,8.57,,,,,20803907,   54 22.847,   13 17.045
29,03/24/20 10:00:00 PM,2.1,7.23,,,,,20803907,   54 22.847,   13 17.045
30,03/24/20 11:00:00 PM,2.1,6.04,,,,,20803907,   54 22.847,   13 17.045
31,03/25/20 12:00:00 AM,2.1,5.08,,,,,20803907,   54 22.847,   13 17.045
32,03/25/20 01:00:00 AM,2.1,4.48,,,,,20803907,   54 22.847,   13 17.045
33,03/25/20 02:00:00 AM,2.1,4.02,,,,,20803907,   54 22.847,   13 17.045
34,03/25/20 03:00:00 AM,2.1,3.56,,,,,20803907,   54 22.847,   13 17.045
35,03/25/20 04:00:00 AM,2.1,3.09,,,,,20803907,   54 22.847,   13 17.045
36,03/25/20 05:00:00 AM,2.1,2.56,,,,,20803907,   54 22.847,   13 17.045
37,03/25/20 06:00:00 AM,2.1,2.18,,,,,20803907,   54 22.847,   13 17.045
38,03/25/20 07:00:00 AM,2.1,1.93,,,,,20803907,   54 22.847,   13 17.045
39,03/25/20 08:00:00 AM,2.1,1.83,,,,,20803907,   54 22.847,   13 17.045
40,03/25/20 09:00:00 AM,-1.6,2.79,,,,,20803907,   54 22.847,   13 17.045
41,03/25/20 10:00:00 AM,-1.3,7.68,,,,,20803907,   54 22.847,   13 17.045
42,03/25/20 11:00:00 AM,2.1,7.5,,,,,20803907,   54 22.847,   13 17.045
43,03/25/20 12:00:00 PM,2.1,7.86,,,,,20803907,   54 22.847,   13 17.045
44,03/25/20 01:00:00 PM,2.1,8.83,,,,,20803907,   54 22.847,   13 17.045
45,03/25/20 02:00:00 PM,2.0,10.04,,,,,20803907,   54 22.847,   13 17.045
46,03/25/20 03:00:00 PM,2.1,9.34,,,,,20803907,   54 22.847,   13 17.045
47,03/25/20 04:00:00 PM,2.1,9.18,,,,,20803907,   54 22.847,   13 17.045
48,03/25/20 05:00:00 PM,-0.2,9.49,,,,,20803907,   54 22.847,   13 17.045
49,03/25/20 06:00:00 PM,2.1,8.63,,,,,20803907,   54 22.847,   13 17.045
50,03/25/20 07:00:00 PM,-1.3,7.91,,,,,20803907,   54 22.847,   13 17.045
51,03/25/20 08:00:00 PM,2.1,7.04,,,,,20803907,   54 22.847,   13 17.045
52,03/25/20 09:00:00 PM,2.1,5.85,,,,,20803907,   54 22.847,   13 17.045
53,03/25/20 10:00:00 PM,2.1,5.5,,,,,20803907,   54 22.847,   13 17.045
54,03/25/20 11:00:00 PM,2.1,5.33,,,,,20803907,   54 22.847,   13 17.045
55,03/26/20 12:00:00 AM,2.1,4.88,,,,,20803907,   54 22.847,   13 17.045
56,03/26/20 01:00:00 AM,2.1,3.9,,,,,20803907,   54 22.847,   13 17.045
57,03/26/20 02:00:00 AM,2.1,2.79,,,,,20803907,   54 22.847,   13 17.045
58,03/26/20 03:00:00 AM,2.1,1.64,,,,,20803907,   54 22.847,   13 17.045
59,03/26/20 04:00:00 AM,2.1,0.47,,,,,20803907,   54 22.847,   13 17.045
60,03/26/20 05:00:00 AM,-0.1,-0.6,,,,,20803907,   54 22.847,   13 17.045
61,03/26/20 06:00:00 AM,2.1,-1.42,,,,,20803907,   54 22.847,   13 17.045
62,03/26/20 07:00:00 AM,2.1,-0.77,,,,,20803907,   54 22.847,   13 17.045
63,03/26/20 08:00:00 AM,-1.6,0.49,,,,,20803907,   54 22.847,   13 17.045
64,03/26/20 09:00:00 AM,2.1,2.39,,,,,20803907,   54 22.847,   13 17.045
65,03/26/20 10:00:00 AM,-1.2,6.21,,,,,20803907,   54 22.847,   13 17.045
66,03/26/20 11:00:00 AM,-1.3,6.92,,,,,20803907,   54 22.847,   13 17.045
67,03/26/20 12:00:00 PM,2.1,8.14,,,,,20803907,   54 22.847,   13 17.045
68,03/26/20 01:00:00 PM,2.0,9.56,,,,,20803907,   54 22.847,   13 17.045
69,03/26/20 02:00:00 PM,2.0,10.27,,,,,20803907,   54 22.847,   13 17.045
70,03/26/20 03:00:00 PM,-0.2,10.67,,,,,20803907,   54 22.847,   13 17.045
71,03/26/20 04:00:00 PM,-0.2,11.9,,,,,20803907,   54 22.847,   13 17.045
72,03/26/20 05:00:00 PM,-0.2,11.05,,,,,20803907,   54 22.847,   13 17.045
73,03/26/20 06:00:00 PM,2.1,9.39,,,,,20803907,   54 22.847,   13 17.045
74,03/26/20 07:00:00 PM,-1.6,8.09,,,,,20803907,   54 22.847,   13 17.045
75,03/26/20 08:00:00 PM,2.1,7.56,,,,,20803907,   54 22.847,   13 17.045
76,03/26/20 09:00:00 PM,2.0,11.06,,,,,20803907,   54 22.847,   13 17.045
77,03/26/20 10:00:00 PM,2.0,16.32,,,,,20803907,   54 22.847,   13 17.045
78,03/26/20 11:00:00 PM,2.0,18.27,,,,,20803907,   54 22.847,   13 17.045
79,03/27/20 12:00:00 AM,-0.2,19.31,,,,,20803907,   54 22.847,   13 17.045
80,03/27/20 01:00:00 AM,-0.2,19.89,,,,,20803907,   54 22.847,   13 17.045
81,03/27/20 02:00:00 AM,-0.2,20.22,,,,,20803907,   54 22.847,   13 17.045
82,03/27/20 03:00:00 AM,-0.2,20.46,,,,,20803907,   54 22.847,   13 17.045
83,03/27/20 04:00:00 AM,2.0,20.61,,,,,20803907,   54 22.847,   13 17.045
84,03/27/20 05:00:00 AM,2.0,20.72,,,,,20803907,   54 22.847,   13 17.045
85,03/27/20 06:00:00 AM,-0.2,20.81,,,,,20803907,   54 22.847,   13 17.045
86,03/27/20 07:00:00 AM,2.0,20.87,,,,,20803907,   54 22.847,   13 17.045
87,03/27/20 08:00:00 AM,2.0,20.94,,,,,20803907,   54 22.847,   13 17.045
88,03/27/20 09:00:00 AM,2.0,20.99,,,,,20803907,   54 22.847,   13 17.045
89,03/27/20 10:00:00 AM,2.0,21.04,,,,,20803907,   54 22.847,   13 17.045
90,03/27/20 11:00:00 AM,-0.2,21.16,,,,,20803907,   54 22.847,   13 17.045
91,03/27/20 12:00:00 PM,2.0,21.27,,,,,20803907,   54 22.847,   13 17.045
92,03/27/20 01:00:00 PM,2.0,21.42,,,,,20803907,   54 22.847,   13 17.045
93,03/27/20 02:00:00 PM,2.0,21.56,,,,,20803907,   54 22.847,   13 17.045
94,03/27/20 03:00:00 PM,2.0,21.74,,,,,20803907,   54 22.847,   13 17.045
95,03/27/20 04:00:00 PM,2.0,21.93,,,,,20803907,   54 22.847,   13 17.045
96,03/27/20 05:00:00 PM,2.0,22.07,,,,,20803907,   54 22.847,   13 17.045
97,03/27/20 06:00:00 PM,2.0,22.2,,,,,20803907,   54 22.847,   13 17.045
98,03/27/20 07:00:00 PM,2.0,22.19,,,,,20803907,   54 22.847,   13 17.045
99,03/27/20 08:00:00 PM,2.0,22.09,,,,,20803907,   54 22.847,   13 17.045
100,03/27/20 09:00:00 PM,2.0,21.99,,,,,20803907,   54 22.847,   13 17.045
101,03/27/20 10:00:00 PM,2.0,21.89,,,,,20803907,   54 22.847,   13 17.045
102,03/27/20 11:00:00 PM,2.0,21.82,,,,,20803907,   54 22.847,   13 17.045
103,03/28/20 12:00:00 AM,2.0,21.75,,,,,20803907,   54 22.847,   13 17.045
104,03/28/20 01:00:00 AM,-0.2,21.7,,,,,20803907,   54 22.847,   13 17.045
105,03/28/20 02:00:00 AM,-0.2,21.67,,,,,20803907,   54 22.847,   13 17.045
106,03/28/20 03:00:00 AM,2.0,21.62,,,,,20803907,   54 22.847,   13 17.045
107,03/28/20 04:00:00 AM,2.0,21.59,,,,,20803907,   54 22.847,   13 17.045
108,03/28/20 05:00:00 AM,2.0,21.57,,,,,20803907,   54 22.847,   13 17.045
109,03/28/20 06:00:00 AM,2.0,21.54,,,,,20803907,   54 22.847,   13 17.045
110,03/28/20 07:00:00 AM,-0.2,21.52,,,,,20803907,   54 22.847,   13 17.045
111,03/28/20 08:00:00 AM,2.0,21.49,,,,,20803907,   54 22.847,   13 17.045
112,03/28/20 09:00:00 AM,2.0,21.49,,,,,20803907,   54 22.847,   13 17.045
113,03/28/20 10:00:00 AM,2.0,21.52,,,,,20803907,   54 22.847,   13 17.045
114,03/28/20 11:00:00 AM,2.0,21.54,,,,,20803907,   54 22.847,   13 17.045
115,03/28/20 12:00:00 PM,2.0,21.57,,,,,20803907,   54 22.847,   13 17.045
116,03/28/20 01:00:00 PM,-0.2,21.62,,,,,20803907,   54 22.847,   13 17.045
117,03/28/20 02:00:00 PM,2.0,21.7,,,,,20803907,   54 22.847,   13 17.045
118,03/28/20 03:00:00 PM,-0.2,21.83,,,,,20803907,   54 22.847,   13 17.045
119,03/28/20 04:00:00 PM,-0.2,22.0,,,,,20803907,   54 22.847,   13 17.045
120,03/28/20 05:00:00 PM,2.0,22.14,,,,,20803907,   54 22.847,   13 17.045
121,03/28/20 06:00:00 PM,2.0,22.25,,,,,20803907,   54 22.847,   13 17.045
122,03/28/20 07:00:00 PM,2.0,22.18,,,,,20803907,   54 22.847,   13 17.045
123,03/28/20 08:00:00 PM,2.0,22.07,,,,,20803907,   54 22.847,   13 17.045
124,03/28/20 09:00:00 PM,2.0,21.95,,,,,20803907,   54 22.847,   13 17.045
125,03/28/20 10:00:00 PM,2.0,21.88,,,,,20803907,   54 22.847,   13 17.045
126,03/28/20 11:00:00 PM,2.0,21.8,,,,,20803907,   54 22.847,   13 17.045
127,03/29/20 12:00:00 AM,-0.2,21.74,,,,,20803907,   54 22.847,   13 17.045
128,03/29/20 01:00:00 AM,2.0,21.69,,,,,20803907,   54 22.847,   13 17.045
129,03/29/20 02:00:00 AM,-1.3,21.67,,,,,20803907,   54 22.847,   13 17.045
130,03/29/20 03:00:00 AM,2.0,21.63,,,,,20803907,   54 22.847,   13 17.045
131,03/29/20 04:00:00 AM,2.0,21.63,,,,,20803907,   54 22.847,   13 17.045
132,03/29/20 05:00:00 AM,-0.2,21.62,,,,,20803907,   54 22.847,   13 17.045
133,03/29/20 06:00:00 AM,2.0,21.62,,,,,20803907,   54 22.847,   13 17.045
134,03/29/20 07:00:00 AM,2.0,21.6,,,,,20803907,   54 22.847,   13 17.045
135,03/29/20 08:00:00 AM,2.0,21.58,,,,,20803907,   54 22.847,   13 17.045
136,03/29/20 09:00:00 AM,-1.3,21.56,,,,,20803907,   54 22.847,   13 17.045
137,03/29/20 10:00:00 AM,2.0,21.54,,,,,20803907,   54 22.847,   13 17.045
138,03/29/20 11:00:00 AM,-0.2,21.54,,,,,20803907,   54 22.847,   13 17.045
139,03/29/20 12:00:00 PM,2.0,21.56,,,,,20803907,   54 22.847,   13 17.045
140,03/29/20 01:00:00 PM,2.0,21.57,,,,,20803907,   54 22.847,   13 17.045
141,03/29/20 02:00:00 PM,2.0,21.59,,,,,20803907,   54 22.847,   13 17.045
142,03/29/20 03:00:00 PM,2.0,21.72,,,,,20803907,   54 22.847,   13 17.045
143,03/29/20 04:00:00 PM,2.0,21.89,,,,,20803907,   54 22.847,   13 17.045
144,03/29/20 05:00:00 PM,2.0,22.04,,,,,20803907,   54 22.847,   13 17.045
145,03/29/20 06:00:00 PM,-0.2,22.23,,,,,20803907,   54 22.847,   13 17.045
146,03/29/20 07:00:00 PM,-0.2,22.18,,,,,20803907,   54 22.847,   13 17.045
147,03/29/20 08:00:00 PM,-1.3,22.04,,,,,20803907,   54 22.847,   13 17.045
148,03/29/20 09:00:00 PM,-1.3,21.9,,,,,20803907,   54 22.847,   13 17.045
149,03/29/20 10:00:00 PM,2.0,21.8,,,,,20803907,   54 22.847,   13 17.045
150,03/29/20 11:00:00 PM,2.0,21.7,,,,,20803907,   54 22.847,   13 17.045
151,03/30/20 12:00:00 AM,-0.2,21.64,,,,,20803907,   54 22.847,   13 17.045
152,03/30/20 01:00:00 AM,2.0,21.58,,,,,20803907,   54 22.847,   13 17.045
153,03/30/20 02:00:00 AM,2.0,21.52,,,,,20803907,   54 22.847,   13 17.045
154,03/30/20 03:00:00 AM,2.0,21.46,,,,,20803907,   54 22.847,   13 17.045
155,03/30/20 04:00:00 AM,-1.7,21.39,,,,,20803907,   54 22.847,   13 17.045
156,03/30/20 05:00:00 AM,2.0,21.34,,,,,20803907,   54 22.847,   13 17.045
157,03/30/20 06:00:00 AM,2.0,21.29,,,,,20803907,   54 22.847,   13 17.045
158,03/30/20 07:00:00 AM,-0.2,21.29,,,,,20803907,   54 22.847,   13 17.045
159,03/30/20 08:00:00 AM,-0.2,21.24,,,,,20803907,   54 22.847,   13 17.045
160,03/30/20 09:00:00 AM,2.0,21.23,,,,,20803907,   54 22.847,   13 17.045
161,03/30/20 10:00:00 AM,2.0,21.28,,,,,20803907,   54 22.847,   13 17.045
162,03/30/20 11:00:00 AM,2.0,21.33,,,,,20803907,   54 22.847,   13 17.045
163,03/30/20 12:00:00 PM,2.0,21.54,,,,,20803907,   54 22.847,   13 17.045
164,03/30/20 01:00:00 PM,-1.3,21.59,,,,,20803907,   54 22.847,   13 17.045
165,03/30/20 02:00:00 PM,2.0,21.7,,,,,20803907,   54 22.847,   13 17.045
166,03/30/20 03:00:00 PM,2.0,21.82,,,,,20803907,   54 22.847,   13 17.045
167,03/30/20 04:00:00 PM,2.0,21.93,,,,,20803907,   54 22.847,   13 17.045
168,03/30/20 05:00:00 PM,2.0,22.13,,,,,20803907,   54 22.847,   13 17.045
169,03/30/20 06:00:00 PM,2.0,22.18,,,,,20803907,   54 22.847,   13 17.045
170,03/30/20 07:00:00 PM,2.0,22.0,,,,,20803907,   54 22.847,   13 17.045
171,03/30/20 08:00:00 PM,2.0,21.88,,,,,20803907,   54 22.847,   13 17.045
172,03/30/20 09:00:00 PM,2.0,21.79,,,,,20803907,   54 22.847,   13 17.045
173,03/30/20 10:00:00 PM,-0.2,21.73,,,,,20803907,   54 22.847,   13 17.045
174,03/30/20 11:00:00 PM,2.0,21.67,,,,,20803907,   54 22.847,   13 17.045
175,03/31/20 12:00:00 AM,2.0,21.62,,,,,20803907,   54 22.847,   13 17.045
176,03/31/20 01:00:00 AM,2.0,21.59,,,,,20803907,   54 22.847,   13 17.045
177,03/31/20 02:00:00 AM,-1.3,21.56,,,,,20803907,   54 22.847,   13 17.045
178,03/31/20 03:00:00 AM,2.0,21.53,,,,,20803907,   54 22.847,   13 17.045
179,03/31/20 04:00:00 AM,2.0,21.51,,,,,20803907,   54 22.847,   13 17.045
180,03/31/20 05:00:00 AM,2.0,21.47,,,,,20803907,   54 22.847,   13 17.045
181,03/31/20 06:00:00 AM,2.0,21.47,,,,,20803907,   54 22.847,   13 17.045
182,03/31/20 07:00:00 AM,2.0,21.47,,,,,20803907,   54 22.847,   13 17.045
183,03/31/20 08:00:00 AM,2.0,21.37,,,,,20803907,   54 22.847,   13 17.045
184,03/31/20 09:00:00 AM,2.0,21.36,,,,,20803907,   54 22.847,   13 17.045
185,03/31/20 10:00:00 AM,2.0,21.37,,,,,20803907,   54 22.847,   13 17.045
186,03/31/20 11:00:00 AM,2.0,21.38,,,,,20803907,   54 22.847,   13 17.045
187,03/31/20 12:00:00 PM,2.0,21.37,,,,,20803907,   54 22.847,   13 17.045
188,03/31/20 01:00:00 PM,-0.2,21.52,,,,,20803907,   54 22.847,   13 17.045
189,03/31/20 02:00:00 PM,-0.2,21.67,,,,,20803907,   54 22.847,   13 17.045
190,03/31/20 03:00:00 PM,2.0,21.8,,,,,20803907,   54 22.847,   13 17.045
191,03/31/20 04:00:00 PM,2.0,22.0,,,,,20803907,   54 22.847,   13 17.045
192,03/31/20 05:00:00 PM,2.0,22.19,,,,,20803907,   54 22.847,   13 17.045
193,03/31/20 06:00:00 PM,2.0,22.23,,,,,20803907,   54 22.847,   13 17.045
194,03/31/20 07:00:00 PM,2.0,22.03,,,,,20803907,   54 22.847,   13 17.045
195,03/31/20 08:00:00 PM,2.0,21.88,,,,,20803907,   54 22.847,   13 17.045
196,03/31/20 09:00:00 PM,2.0,21.78,,,,,20803907,   54 22.847,   13 17.045
197,03/31/20 10:00:00 PM,2.0,21.69,,,,,20803907,   54 22.847,   13 17.045
198,03/31/20 11:00:00 PM,2.0,21.63,,,,,20803907,   54 22.847,   13 17.045
199,04/01/20 12:00:00 AM,2.0,21.58,,,,,20803907,   54 22.847,   13 17.045
200,04/01/20 01:00:00 AM,-0.2,21.52,,,,,20803907,   54 22.847,   13 17.045
201,04/01/20 02:00:00 AM,2.0,21.49,,,,,20803907,   54 22.847,   13 17.045
202,04/01/20 03:00:00 AM,2.0,21.44,,,,,20803907,   54 22.847,   13 17.045
203,04/01/20 04:00:00 AM,2.0,21.42,,,,,20803907,   54 22.847,   13 17.045
204,04/01/20 05:00:00 AM,2.0,21.39,,,,,20803907,   54 22.847,   13 17.045
205,04/01/20 06:00:00 AM,-1.3,21.38,,,,,20803907,   54 22.847,   13 17.045
206,04/01/20 07:00:00 AM,2.0,21.39,,,,,20803907,   54 22.847,   13 17.045
207,04/01/20 08:00:00 AM,2.0,21.33,,,,,20803907,   54 22.847,   13 17.045
208,04/01/20 09:00:00 AM,2.0,21.37,,,,,20803907,   54 22.847,   13 17.045
209,04/01/20 10:00:00 AM,-0.2,21.47,,,,,20803907,   54 22.847,   13 17.045
210,04/01/20 11:00:00 AM,-0.2,21.51,,,,,20803907,   54 22.847,   13 17.045
211,04/01/20 12:00:00 PM,-0.2,21.53,,,,,20803907,   54 22.847,   13 17.045
212,04/01/20 01:00:00 PM,2.0,21.54,,,,,20803907,   54 22.847,   13 17.045
213,04/01/20 02:00:00 PM,2.0,21.56,,,,,20803907,   54 22.847,   13 17.045
214,04/01/20 03:00:00 PM,2.0,21.56,,,,,20803907,   54 22.847,   13 17.045
215,04/01/20 04:00:00 PM,2.0,21.58,,,,,20803907,   54 22.847,   13 17.045
216,04/01/20 05:00:00 PM,-0.2,21.7,,,,,20803907,   54 22.847,   13 17.045
217,04/01/20 06:00:00 PM,2.0,21.69,,,,,20803907,   54 22.847,   13 17.045
218,04/01/20 07:00:00 PM,2.0,21.64,,,,,20803907,   54 22.847,   13 17.045
219,04/01/20 08:00:00 PM,2.0,21.59,,,,,20803907,   54 22.847,   13 17.045
220,04/01/20 09:00:00 PM,-0.2,21.53,,,,,20803907,   54 22.847,   13 17.045
221,04/01/20 10:00:00 PM,2.0,21.49,,,,,20803907,   54 22.847,   13 17.045
222,04/01/20 11:00:00 PM,2.0,21.46,,,,,20803907,   54 22.847,   13 17.045
223,04/02/20 12:00:00 AM,2.0,21.42,,,,,20803907,   54 22.847,   13 17.045
224,04/02/20 01:00:00 AM,-0.2,21.38,,,,,20803907,   54 22.847,   13 17.045
225,04/02/20 02:00:00 AM,2.0,21.36,,,,,20803907,   54 22.847,   13 17.045
226,04/02/20 03:00:00 AM,-0.2,21.33,,,,,20803907,   54 22.847,   13 17.045
227,04/02/20 04:00:00 AM,2.0,21.32,,,,,20803907,   54 22.847,   13 17.045
228,04/02/20 05:00:00 AM,2.0,21.29,,,,,20803907,   54 22.847,   13 17.045
229,04/02/20 06:00:00 AM,-0.2,21.29,,,,,20803907,   54 22.847,   13 17.045
230,04/02/20 07:00:00 AM,-0.2,21.29,,,,,20803907,   54 22.847,   13 17.045
231,04/02/20 08:00:00 AM,2.0,21.24,,,,,20803907,   54 22.847,   13 17.045
232,04/02/20 09:00:00 AM,2.0,21.26,,,,,20803907,   54 22.847,   13 17.045
233,04/02/20 10:00:00 AM,-0.2,21.27,,,,,20803907,   54 22.847,   13 17.045
234,04/02/20 11:00:00 AM,-0.2,21.31,,,,,20803907,   54 22.847,   13 17.045
235,04/02/20 12:00:00 PM,2.0,21.34,,,,,20803907,   54 22.847,   13 17.045
236,04/02/20 01:00:00 PM,14.0,21.38,,,,,20803907,   54 22.847,   13 17.045
237,04/02/20 02:00:00 PM,2.0,21.39,,,,,20803907,   54 22.847,   13 17.045
238,04/02/20 03:00:00 PM,2.0,21.41,,,,,20803907,   54 22.847,   13 17.045
239,04/02/20 04:00:00 PM,2.0,21.39,,,,,20803907,   54 22.847,   13 17.045
240,04/02/20 05:00:00 PM,-0.2,21.37,,,,,20803907,   54 22.847,   13 17.045
241,04/02/20 06:00:00 PM,2.0,21.34,,,,,20803907,   54 22.847,   13 17.045
242,04/02/20 07:00:00 PM,2.0,21.32,,,,,20803907,   54 22.847,   13 17.045
243,04/02/20 08:00:00 PM,2.0,21.31,,,,,20803907,   54 22.847,   13 17.045
244,04/02/20 09:00:00 PM,-0.2,21.28,,,,,20803907,   54 22.847,   13 17.045
245,04/02/20 10:00:00 PM,2.0,21.26,,,,,20803907,   54 22.847,   13 17.045
246,04/02/20 11:00:00 PM,2.0,21.23,,,,,20803907,   54 22.847,   13 17.045
247,04/03/20 12:00:00 AM,2.0,21.21,,,,,20803907,   54 22.847,   13 17.045
248,04/03/20 01:00:00 AM,2.0,21.16,,,,,20803907,   54 22.847,   13 17.045
249,04/03/20 02:00:00 AM,-0.2,21.12,,,,,20803907,   54 22.847,   13 17.045
250,04/03/20 03:00:00 AM,2.0,21.08,,,,,20803907,   54 22.847,   13 17.045
251,04/03/20 04:00:00 AM,2.0,21.04,,,,,20803907,   54 22.847,   13 17.045
252,04/03/20 05:00:00 AM,-0.2,21.02,,,,,20803907,   54 22.847,   13 17.045
253,04/03/20 06:00:00 AM,2.0,21.01,,,,,20803907,   54 22.847,   13 17.045
254,04/03/20 07:00:00 AM,2.0,21.03,,,,,20803907,   54 22.847,   13 17.045
255,04/03/20 08:00:00 AM,2.0,21.08,,,,,20803907,   54 22.847,   13 17.045
256,04/03/20 09:00:00 AM,2.0,21.11,,,,,20803907,   54 22.847,   13 17.045
257,04/03/20 10:00:00 AM,2.0,21.12,,,,,20803907,   54 22.847,   13 17.045
258,04/03/20 11:00:00 AM,2.0,21.14,,,,,20803907,   54 22.847,   13 17.045
259,04/03/20 12:00:00 PM,2.0,21.19,,,,,20803907,   54 22.847,   13 17.045
260,04/03/20 01:00:00 PM,2.0,21.27,,,,,20803907,   54 22.847,   13 17.045
261,04/03/20 02:00:00 PM,2.0,21.37,,,,,20803907,   54 22.847,   13 17.045
262,04/03/20 03:00:00 PM,2.0,21.52,,,,,20803907,   54 22.847,   13 17.045
263,04/03/20 04:00:00 PM,2.0,21.62,,,,,20803907,   54 22.847,   13 17.045
264,04/03/20 05:00:00 PM,-0.2,21.65,,,,,20803907,   54 22.847,   13 17.045
265,04/03/20 06:00:00 PM,2.0,21.72,,,,,20803907,   54 22.847,   13 17.045
266,04/03/20 07:00:00 PM,-0.2,21.58,,,,,20803907,   54 22.847,   13 17.045
267,04/03/20 08:00:00 PM,-0.2,21.48,,,,,20803907,   54 22.847,   13 17.045
268,04/03/20 09:00:00 PM,2.0,21.39,,,,,20803907,   54 22.847,   13 17.045
269,04/03/20 10:00:00 PM,2.0,21.33,,,,,20803907,   54 22.847,   13 17.045
270,04/03/20 11:00:00 PM,2.0,21.28,,,,,20803907,   54 22.847,   13 17.045
271,04/04/20 12:00:00 AM,2.0,21.24,,,,,20803907,   54 22.847,   13 17.045
272,04/04/20 01:00:00 AM,2.0,21.21,,,,,20803907,   54 22.847,   13 17.045
273,04/04/20 02:00:00 AM,2.0,21.17,,,,,20803907,   54 22.847,   13 17.045
274,04/04/20 03:00:00 AM,2.0,21.14,,,,,20803907,   54 22.847,   13 17.045
275,04/04/20 04:00:00 AM,2.0,21.12,,,,,20803907,   54 22.847,   13 17.045
276,04/04/20 05:00:00 AM,2.0,21.09,,,,,20803907,   54 22.847,   13 17.045
277,04/04/20 06:00:00 AM,2.0,21.07,,,,,20803907,   54 22.847,   13 17.045
278,04/04/20 07:00:00 AM,-1.3,21.04,,,,,20803907,   54 22.847,   13 17.045
279,04/04/20 08:00:00 AM,2.0,21.07,,,,,20803907,   54 22.847,   13 17.045
280,04/04/20 09:00:00 AM,2.0,21.08,,,,,20803907,   54 22.847,   13 17.045
281,04/04/20 10:00:00 AM,2.0,21.11,,,,,20803907,   54 22.847,   13 17.045
282,04/04/20 11:00:00 AM,-0.2,21.14,,,,,20803907,   54 22.847,   13 17.045
283,04/04/20 12:00:00 PM,2.0,21.19,,,,,20803907,   54 22.847,   13 17.045
284,04/04/20 01:00:00 PM,2.0,21.23,,,,,20803907,   54 22.847,   13 17.045
285,04/04/20 02:00:00 PM,-0.2,21.24,,,,,20803907,   54 22.847,   13 17.045
286,04/04/20 03:00:00 PM,-0.2,21.33,,,,,20803907,   54 22.847,   13 17.045
287,04/04/20 04:00:00 PM,2.0,21.33,,,,,20803907,   54 22.847,   13 17.045
288,04/04/20 05:00:00 PM,2.0,21.44,,,,,20803907,   54 22.847,   13 17.045
289,04/04/20 06:00:00 PM,2.0,21.46,,,,,20803907,   54 22.847,   13 17.045
290,04/04/20 07:00:00 PM,2.0,21.41,,,,,20803907,   54 22.847,   13 17.045
291,04/04/20 08:00:00 PM,2.0,21.37,,,,,20803907,   54 22.847,   13 17.045
292,04/04/20 09:00:00 PM,2.0,21.33,,,,,20803907,   54 22.847,   13 17.045
293,04/04/20 10:00:00 PM,2.0,21.31,,,,,20803907,   54 22.847,   13 17.045
294,04/04/20 11:00:00 PM,2.0,21.28,,,,,20803907,   54 22.847,   13 17.045
